RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1s03_A,0.11764705882352941,0.13333333333333333,0.10526315789473684,1,0.02127659574468085,47
4q9q_R,0.06060606060606061,0.07142857142857142,0.05263157894736842,1,0.011904761904761904,84
4r4v_A,0,0,0,1,0.005376344086021506,186
4rzd_A,0.028985507246376812,0.030303030303030304,0.027777777777777776,1,0.009900990099009901,101
4ts0_X,0,0,0,1,0.022727272727272728,44
5ng6_B,0,0,0,1,0.023255813953488372,43
5y85_B,0.13333333333333333,0.125,0.14285714285714285,1,0.02,50
6d3p_A,0.07142857142857144,0.06666666666666667,0.07692307692307693,1,0.022222222222222223,45
6g7z_B,0,0,0,1,0.018518518518518517,54
1zho_B,0.21428571428571427,0.25,0.1875,2,0.05263157894736842,38
2zh2_B,0.16666666666666669,0.18181818181818182,0.15384615384615385,4,0.11764705882352941,34
3hhn_C,0.1212121212121212,0.13333333333333333,0.1111111111111111,3,0.021897810218978103,137
3zd4_A,0.2608695652173913,0.21428571428571427,0.3333333333333333,5.370769999999999,0.12490162790697673,43
4k27_U,0.3333333333333333,0.3888888888888889,0.2916666666666667,5.83333,0.10606054545454546,55
4m4o_B,0.044444444444444446,0.05263157894736842,0.038461538461538464,2,0.03389830508474576,59
4x4r_B,0.2608695652173913,0.3,0.23076923076923078,2.33333,0.06306297297297297,37
5ddo_A,0.046511627906976744,0.05,0.043478260869565216,2,0.03278688524590164,61
5dh6_A,0.3076923076923077,0.25,0.4,5.82792,0.121415,48
6c64_A,0.060606060606060615,0.08333333333333333,0.047619047619047616,2,0.05555555555555555,36
6las_A,0.10256410256410256,0.1111111111111111,0.09523809523809523,1.0357100000000001,0.018831090909090912,55
6mj0_A,0.16,0.18181818181818182,0.14285714285714285,5.00654,0.0481398076923077,104
6ufj_A,0.1081081081081081,0.11764705882352941,0.1,2.66667,0.05228764705882353,51
6m0w_B,0,0,0,9.45,0.13124999999999998,72
2xdb_G,0.08,0.07692307692307693,0.08333333333333333,5.381880000000001,0.13454700000000003,40
4x4v_B,0.1,0.125,0.08333333333333333,2,0.05405405405405406,37
6dvk_H,0.027777777777777776,0.03225806451612903,0.024390243902439025,2,0.021052631578947368,95
5b2o_B,0,0,0,2,0.02127659574468085,94
3fu2_A,0,0,0,1.7615900000000002,0.0518114705882353,34
5dcv_B,0.11428571428571428,0.11764705882352941,0.1111111111111111,2,0.0392156862745098,51
5xwp_C,0,0,0,6,0.1016949152542373,59
5u30_B,0.029850746268656716,0.02702702702702703,0.03333333333333333,2,0.017857142857142856,112
6sy6_D,0,0,0,2,0.05128205128205128,39
2ozb_C,0.6956521739130435,0.7272727272727273,0.6666666666666666,7.44528,0.22561454545454546,33
3p22_A,0.08,0.07692307692307693,0.08333333333333333,2,0.05,40
4ato_G,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.91667,0.056372647058823534,34
